,Case,Method,Sigma_Option,Sigma,Normalized,Empirical_Method,Similarity_Overlap,Distance_Euclidean,MSE_s1,KL_Divergence_s1,AIC_s1,BIC_s1,MSE_s2,KL_Divergence_s2,AIC_s2,BIC_s2
250,4,kde,r0.1,,True,kde,0.8740165663762298,1.6532501915857887,0.35003387573726696,-5.211928017591376,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
251,4,kde,r0.1,,True,counts,0.8740165663762298,1.6532501915857887,0.3346779915653282,-19.68270140520137,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
252,4,kde,r0.2,,True,kde,0.8740165663762298,1.6532501915857887,0.35003387573726696,-5.211928017591376,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
253,4,kde,r0.2,,True,counts,0.8740165663762298,1.6532501915857887,0.3346779915653282,-19.68270140520137,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
254,4,kde,r0.5,,True,kde,0.8740165663762298,1.6532501915857887,0.35003387573726696,-5.211928017591376,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
255,4,kde,r0.5,,True,counts,0.8740165663762298,1.6532501915857887,0.3346779915653282,-19.68270140520137,8179.965416307996,8189.78092686596,0.3497981156768831,-5.238320805595231,8108.043131717002,8117.858642274967
256,5,nd,0.01,0.01,False,kde,0.007816329649998514,5.02351487297877,0.028014469340078178,2.67736825885786,9062.127942790003,9071.943453347967,0.02147816037289016,-1.5822740855684774,6719.862645863871,6729.678156421835
257,5,nd,0.01,0.01,False,counts,0.007816329649998514,5.02351487297877,0.02394053612630692,14.960887194537902,9062.127942790003,9071.943453347967,0.02147816037289016,-1.5822740855684774,6719.862645863871,6729.678156421835
258,5,nd,0.1,0.1,False,kde,0.025088124822296595,8.372641761420084,0.08571812286315147,-3.5274338835066916,7090.462703653255,7100.278214211219,0.05434641449108304,-3.8667997532278764,5834.997414131586,5844.8129246895505
259,5,nd,0.1,0.1,False,counts,0.025088124822296595,8.372641761420084,0.07466007843877714,-18.1559966543132,7090.462703653255,7100.278214211219,0.05434641449108304,-3.8667997532278764,5834.997414131586,5844.8129246895505
