dataset,sensor_loc,length,actual_size,sigma,sigma_value,fold,ndg_time,kde_time,ndg_memory,kde_memory,kl_divergence,chi_squared
synthetic_bimodal,bimodal,1000,1000,0.5,0.5,4,0.006968975067138672,0.004124879837036133,0.3125,0.0,7.97308516796631e-08,8.2864155102922e-08
synthetic_bimodal,bimodal,1000,1000,r0.1,3.350637055642398,0,0.02208995819091797,0.0041849613189697266,2.78125,0.0,3.037157484356859e-07,5.062368598471599e-07
synthetic_bimodal,bimodal,1000,1000,r0.1,3.5469994153618964,1,0.02192521095275879,0.004363059997558594,1.375,0.0,2.604248526198994e-07,4.4948411494683653e-07
synthetic_bimodal,bimodal,1000,1000,r0.1,3.5469994153618964,2,0.02089381217956543,0.0041882991790771484,2.296875,0.015625,2.4882829139072304e-07,4.278192387538886e-07
synthetic_bimodal,bimodal,1000,1000,r0.1,3.5469994153618964,3,0.019962787628173828,0.004141092300415039,0.0,0.0,2.535742939683266e-07,4.3263190010103455e-07
synthetic_bimodal,bimodal,1000,1000,r0.1,3.160074074262155,4,0.020120859146118164,0.00396418571472168,0.0,0.0,2.717742464348443e-07,4.60636547639891e-07
synthetic_bimodal,bimodal,1000,1000,r0.3,10.051911166927194,0,0.14042234420776367,0.004220008850097656,6.125,0.0,1.2245981354086347e-08,3.0839786214282856e-07
synthetic_bimodal,bimodal,1000,1000,r0.3,10.640998246085688,1,0.14314985275268555,0.004220008850097656,5.046875,0.0,2.9521981201984643e-08,3.1661911154232146e-07
synthetic_bimodal,bimodal,1000,1000,r0.3,10.640998246085688,2,0.13976097106933594,0.004240989685058594,0.34375,0.0,3.383615173640955e-08,3.1486380790319795e-07
synthetic_bimodal,bimodal,1000,1000,r0.3,10.640998246085688,3,0.13895297050476074,0.004212856292724609,0.328125,0.0,2.996916597598396e-08,3.1396004086583557e-07
synthetic_bimodal,bimodal,1000,1000,r0.3,9.480222222786464,4,0.14860081672668457,0.004256010055541992,0.390625,0.0,6.5400998146167245e-09,2.849269292252494e-07
synthetic_bimodal,bimodal,10000,10000,0.1,0.1,0,0.013731241226196289,0.018525123596191406,0.015625,0.0,1.0248770309396215e-08,1.0433308163685425e-08
synthetic_bimodal,bimodal,10000,10000,0.1,0.1,1,0.013332128524780273,0.019910812377929688,0.0,0.015625,2.0398590345124757e-08,2.0989548599326053e-08
synthetic_bimodal,bimodal,10000,10000,0.1,0.1,2,0.014311790466308594,0.01920485496520996,0.421875,0.0,9.890229385001358e-09,1.0176020836773836e-08
synthetic_bimodal,bimodal,10000,10000,0.1,0.1,3,0.012944936752319336,0.018540143966674805,1.84375,0.0,2.2821093229776133e-08,2.304342461694131e-08
synthetic_bimodal,bimodal,10000,10000,0.1,0.1,4,0.012897968292236328,0.01852703094482422,0.234375,0.0,1.9480705659667436e-08,2.0079589671919926e-08
synthetic_bimodal,bimodal,10000,10000,0.3,0.3,0,0.021932125091552734,0.020697832107543945,16.140625,0.0,6.340557405238348e-09,6.4798656187509116e-09
synthetic_bimodal,bimodal,10000,10000,0.3,0.3,1,0.022677183151245117,0.02123427391052246,0.15625,0.0,7.572243329377488e-09,7.682122505375519e-09
synthetic_bimodal,bimodal,10000,10000,0.3,0.3,2,0.022006988525390625,0.02370619773864746,0.9375,0.0,7.1033273994532494e-09,7.86877645186353e-09
synthetic_bimodal,bimodal,10000,10000,0.3,0.3,3,0.0209043025970459,0.022166013717651367,1.359375,0.0,6.298105907133937e-09,6.39784688183956e-09
synthetic_bimodal,bimodal,10000,10000,0.3,0.3,4,0.022432804107666016,0.020997285842895508,0.3125,0.0,5.178557619961497e-09,5.256512617948364e-09
synthetic_bimodal,bimodal,10000,10000,0.5,0.5,0,0.029842853546142578,0.024441957473754883,9.03125,0.0,7.512331021024077e-09,7.705481940458745e-09
synthetic_bimodal,bimodal,10000,10000,0.5,0.5,1,0.034648895263671875,0.023450851440429688,24.0,0.03125,8.863673600724909e-09,9.022334336202227e-09
synthetic_bimodal,bimodal,10000,10000,0.5,0.5,2,0.029783964157104492,0.022907733917236328,0.0,0.015625,7.541512126655995e-09,7.763790637523121e-09
synthetic_bimodal,bimodal,10000,10000,0.5,0.5,3,0.029450178146362305,0.023646116256713867,0.0,0.0,7.3804024838448796e-09,7.511238761782304e-09
synthetic_bimodal,bimodal,10000,10000,0.5,0.5,4,0.03205728530883789,0.024410009384155273,26.703125,0.0,4.892392012421719e-09,5.033361198679888e-09
synthetic_bimodal,bimodal,10000,10000,r0.1,3.9243189790273343,0,0.17840003967285156,0.02824687957763672,80.71875,0.015625,1.7264276428785436e-07,3.2868211524177004e-07
synthetic_bimodal,bimodal,10000,10000,r0.1,3.881446627447848,1,0.17547082901000977,0.028818845748901367,29.09375,0.015625,1.6906898834427098e-07,3.203897493069694e-07
synthetic_bimodal,bimodal,10000,10000,r0.1,3.9243189790273343,2,0.17055916786193848,0.02811884880065918,0.03125,0.0,1.7054350135388913e-07,3.239906137129732e-07
